flat,mrt,mrt_dist,num_mrt_2km,supermarket_dist,num_supermarket_2km,hawker,hawker_dist,num_hawker_2km,school,school_dist,num_school_2km
412 CHOA CHU KANG AVE 3,SOUTH VIEW LRT STATION,0.367,8,0.162,11,Market Street Food Centre,4.269,0,South View Primary School,0.434,8
122E RIVERVALE DR,BAKAU LRT STATION,0.051,19,0.525,14,Market Street Food Centre,3.879,0,North Spring Primary School,0.311,18
440C FERNVALE LINK,LAYAR LRT STATION,0.213,11,0.255,11,Chomp Chomp Food Centre,3.388,0,Sengkang Green Primary School,0.329,8
893C WOODLANDS DR 50,WOODLANDS MRT STATION,0.281,5,0.414,16,Blks 20/21 Marsiling Lane,1.692,2,Woodlands Primary School,0.126,12
642 PASIR RIS DR 10,PASIR RIS MRT STATION,1.306,1,0.336,6,Market Street Food Centre,3.625,0,Park View Primary School,0.127,4
917 HOUGANG AVE 9,HOUGANG MRT STATION,1.069,7,0.294,19,Market Street Food Centre,1.782,2,Hougang Primary School,0.399,12
436 WOODLANDS ST 41,MARSILING MRT STATION,0.658,4,0.561,8,Blks 20/21 Marsiling Lane,1.876,2,Fuchun Primary School,0.565,5
116 BT MERAH VIEW,TIONG BAHRU MRT STATION,0.614,3,0.382,18,Blk 115 Bukit Merah View,0.049,8,Zhangde Primary School,0.494,8
282C SENGKANG EAST AVE,BUANGKOK MRT STATION,0.253,16,0.136,17,Market Street Food Centre,2.966,0,Palm View Primary School,0.198,16
291C BT BATOK ST 24,BUKIT BATOK MRT STATION,0.911,4,0.472,17,Market Street Food Centre,1.939,1,Keming Primary School,0.315,7
408 YISHUN AVE 6,YISHUN MRT STATION,1.535,2,0.199,15,Chong Pang Market & Food Centre,2.287,0,North View Primary School,0.143,8
406 WOODLANDS ST 41,MARSILING MRT STATION,0.376,4,0.248,6,Blks 20/21 Marsiling Lane,1.623,2,Marsiling Primary School,0.501,4
446C JLN KAYU,FERNVALE LRT STATION,0.305,7,0.122,9,Chomp Chomp Food Centre,3.2,0,Sengkang Green Primary School,0.193,6
698A JURONG WEST CTRL 3,BOON LAY MRT STATION,0.349,3,0.235,13,Blk 505 Jurong West Street 52,1.497,2,Boon Lay Garden Primary School,0.629,10
211 YISHUN ST 21,YISHUN MRT STATION,0.446,2,0.256,16,Chong Pang Market & Food Centre,1.086,2,Xishan Primary School,0.2,10
676D PUNGGOL DR,DAMAI LRT STATION,0.265,18,0.119,13,Market Street Food Centre,5.845,0,Oasis Primary School,0.115,12
10 LOR 7 TOA PAYOH,TOA PAYOH MRT STATION,1.193,8,0.28,17,Blk 210 Toa Payoh Lorong 8,0.427,5,Pei Chun Public School,0.184,12
686A WOODLANDS DR 73,ADMIRALTY MRT STATION,0.542,2,0.139,17,Chong Pang Market & Food Centre,2.756,0,Greenwood Primary School,0.267,12
231 COMPASSVALE WALK,BAKAU LRT STATION,0.467,21,0.466,18,Market Street Food Centre,3.735,0,Seng Kang Primary School,0.181,18
220 HOUGANG ST 21,KOVAN MRT STATION,0.364,5,0.091,15,Market Street Food Centre,0.293,2,Xinghua Primary School,0.672,10
483 JURONG WEST ST 41,LAKESIDE MRT STATION,0.592,2,0.156,11,Blk 505 Jurong West Street 52,0.807,3,Shuqun Primary School,0.424,8
740 YISHUN AVE 5,YISHUN MRT STATION,0.351,2,0.351,16,Chong Pang Market & Food Centre,0.404,2,Jiemin Primary School,0.316,10
140 JLN BT MERAH,TIONG BAHRU MRT STATION,0.931,9,0.661,22,Blk 112 Jalan Bukit Merah,0.441,14,CHIJ (Kellock),0.378,7
105 BISHAN ST 12,BISHAN MRT STATION,0.553,7,0.303,12,Blk 93 Toa Payoh Lorong 4,0.855,6,Guangyang Primary School,0.233,11
85B LOR 4 TOA PAYOH,TOA PAYOH MRT STATION,0.418,8,0.408,18,Blk 93 Toa Payoh Lorong 4,0.27,5,Kheng Cheng School,0.185,10
